team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Chicago Red Stars,CHI,2020,2020-09-26 17:00:00 UTC,1,1,1.3947,1.6208,False
Washington Spirit,WAS,2020,2020-09-26 17:00:00 UTC,1,1,1.6208,1.3947,False
Racing Louisville FC,LOU,2021,2021-04-26 22:00:00 UTC,2,2,0.9167000000000001,1.0785,False
North Carolina Courage,NC,2021,2021-04-26 22:00:00 UTC,2,2,1.0785,0.9167000000000001,False
Chicago Red Stars,CHI,2018,2018-08-19 02:30:00 UTC,2,2,1.3002,0.48250000000000004,False
Portland Thorns FC,POR,2018,2018-08-19 02:30:00 UTC,2,2,0.48250000000000004,1.3002,False
Orlando Pride,ORL,2018,2018-05-23 23:30:00 UTC,3,4,0.841,2.6431,False
North Carolina Courage,NC,2018,2018-05-23 23:30:00 UTC,4,3,2.6431,0.841,False
Washington Spirit,WAS,2018,2018-08-09 02:00:00 UTC,0,1,0.34850000000000003,1.6088,False
Utah Royals FC,UTA,2018,2018-08-09 02:00:00 UTC,1,0,1.6088,0.34850000000000003,False
Washington Spirit,WAS,2018,2018-05-12 23:00:00 UTC,0,1,0.9502,2.6782,False
North Carolina Courage,NC,2018,2018-05-12 23:00:00 UTC,1,0,2.6782,0.9502,False
Chicago Red Stars,CHI,2022,2022-10-02 22:00:00 UTC,2,0,1.4504000000000001,1.2289,False
Angel City FC,LA,2022,2022-10-02 22:00:00 UTC,0,2,1.2289,1.4504000000000001,False
Houston Dash,HOU,2022,2022-05-29 23:00:00 UTC,1,1,1.4849999999999999,0.3116,False
North Carolina Courage,NC,2022,2022-05-29 23:00:00 UTC,1,1,0.3116,1.4849999999999999,False
San Diego Wave FC,SD,2022,2022-07-31 00:00:00 UTC,1,0,0.8573000000000001,2.0464,False
Chicago Red Stars,CHI,2022,2022-07-31 00:00:00 UTC,0,1,2.0464,0.8573000000000001,False
Houston Dash,HOU,2022,2022-04-16 00:00:00 UTC,1,2,0.6611,0.6644,False
Kansas City Current,KC,2022,2022-04-16 00:00:00 UTC,2,1,0.6644,0.6611,False
Chicago Red Stars,CHI,2019,2019-04-13 23:00:00 UTC,1,1,1.5423,1.3588,False
North Carolina Courage,NC,2019,2019-04-13 23:00:00 UTC,1,1,1.3588,1.5423,False
Chicago Red Stars,CHI,2019,2019-06-30 21:00:00 UTC,3,2,2.1966,1.6799,False
Orlando Pride,ORL,2019,2019-06-30 21:00:00 UTC,2,3,1.6799,2.1966,False
Washington Spirit,WAS,2019,2019-09-28 23:00:00 UTC,2,1,0.366,2.5451,False
North Carolina Courage,NC,2019,2019-09-28 23:00:00 UTC,1,2,2.5451,0.366,False
OL Reign,RGN,2017,2017-05-22 01:30:00 UTC,1,1,1.0604,0.44110000000000005,False
Orlando Pride,ORL,2017,2017-05-22 01:30:00 UTC,1,1,0.44110000000000005,1.0604,False
Houston Dash,HOU,2017,2017-08-16 23:30:00 UTC,3,1,2.088,1.1664,False
Boston Breakers,BOS,2017,2017-08-16 23:30:00 UTC,1,3,1.1664,2.088,False
Orlando Pride,ORL,2016,2016-08-26 23:30:00 UTC,1,2,0.7668,0.622,False
Washington Spirit,WAS,2016,2016-08-26 23:30:00 UTC,2,1,0.622,0.7668,False
Boston Breakers,BOS,2016,2016-05-27 23:00:00 UTC,0,4,0.6485000000000001,1.987,False
Western New York Flash,WNY,2016,2016-05-27 23:00:00 UTC,4,0,1.987,0.6485000000000001,False
NJ/NY Gotham FC,NJY,2021,2021-09-25 19:00:00 UTC,3,1,2.0978,0.4807,False
North Carolina Courage,NC,2021,2021-09-25 19:00:00 UTC,1,3,0.4807,2.0978,False
Kansas City Current,KC,2021,2021-07-03 02:20:00 UTC,1,1,0.5242,0.8674000000000001,False
NJ/NY Gotham FC,NJY,2021,2021-07-03 02:20:00 UTC,1,1,0.8674000000000001,0.5242,False
Houston Dash,HOU,2021,2021-04-17 02:00:00 UTC,0,0,0.482,0.6027,False
OL Reign,RGN,2021,2021-04-17 02:00:00 UTC,0,0,0.6027,0.482,False
OL Reign,RGN,2020,2020-07-08 16:30:00 UTC,1,0,1.1168,1.1351,False
Utah Royals FC,UTA,2020,2020-07-08 16:30:00 UTC,0,1,1.1351,1.1168,False
